event_id,date,family,variant,service,platform,location_id,event_type,result,source_type,source_url,confidence,notes,_title,_prid
MTI-2026-0061,2026-08-14,Kusha,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2299584,High,रक्षा मंत्रालय आत्मनिर्भर और भविष्य के लिए तत्पर रक्षा क्षेत्र द्वारा संचालित सैन्य आधुनिकीकरण सरकार की सर्वोच्च प्राथमिकता है: 80वें स्वतंत्रता दिवस की पूर्व संध्या पर रक्षा मंत्री प्रविष्टि तिथि: 14 AUG 2026 5:38PM by…
MTI-2026-0062,2026-08,UNKNOWN,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2300754,High,रक्षा मंत्रालय आत्मनिर्भर भारत : रक्षा उत्पादन विभाग ने सामरिक रूप से महत्वपूर्ण 405 वस्तुओं की छठी सकारात्मक स्वदेशीकरण सूची अधिसूचित की प्रविष्टि तिथि: 18 AUG 2026 11:15AM by PIB Delhi रक्षा मंत्रालय के रक्षा उत्पादन व…
MTI-2026-0063,2026-08,UNKNOWN,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2302536,High,"रक्षा मंत्रालय रक्षा मंत्री और पश्चिम बंगाल के मुख्यमंत्री ने कोलकाता से वर्चुअल माध्यम से जीआरएसई और वाईआईएल की पांच विस्तार परियोजनाओं के लिए भूमि पूजन किया लगभग 3,500 करोड़ रुपये की लागत वाली ये परियोजनाएं देश की जहाज…"
